ID_Unico;Titulo;Autor;Categoria;Anio_Escritura;Numero_Paginas;Calificacion_Usuarios;Stock_Disponible
e76b8fe9-33fa;Códice de la Transmutación Infinitas;Isolde Blackwood;Filosofía Prohibida;1268;1013;2,46;42
ecd1dbfb-ec3a;La Esencia de la Quintaesencia;Balthazar Nightshade;Historia de la Piedra;1628;1039;1,54;37
2c8d6282-5102;El Aliento de la Transmutación Infinitas;Caspian Flamel;Alquimia Teórica;1724;1091;3,73;3
d9b14bc5-9cf5;Códice de la Transmutación Infinitas;Thalric Blackwood;Historia de la Piedra;1509;643;4,61;34
9fb410fb-55ec;Tratado de el Azufre Sagrado;Caspian Grimoire;Filosofía Prohibida;1194;1142;4,22;47
8400fb41-44ec;Vórtice de la Quintaesencia;Aurelius Grimoire;Filosofía Prohibida;1231;1493;4,69;4
1fc5ca05-81a1;Sombras sobre la Transmutación Infinitas;Aurelius Blackwood;Historia de la Piedra;1919;593;1,82;12
6c8763b0-570e;Espejos de las Almas de Plomo;Balthazar Sterling;Botánica Arcana;1440;1448;4,56;46
f6b38710-31b6;Códice de las Almas de Plomo;Isolde Sterling;Botánica Arcana;1322;559;3,92;49
9f25969b-1e99;Vórtice de la Quintaesencia;Thalric Blackwood;Transmutación Metálica;1927;354;2,16;44
9637b21d-e4c0;Tratado de las Almas de Plomo;Morgana Flamel;Filosofía Prohibida;1996;697;1,93;7
f4ae4d8e-7477;Sombras sobre las Almas de Plomo;Balthazar Flamel;Transmutación Metálica;1668;634;1,29;30
b2eaeb59-2f04;Espejos de el Sol Negro;Aurelius Grimoire;Filosofía Prohibida;1750;1272;3,6;29
d30412eb-4cf5;El Aliento de la Quintaesencia;Balthazar Vance;Botánica Arcana;1124;112;4,95;13
feab5f56-6fe1;El Enigma de el Mercurio Rojo;Thalric Flamel;Transmutación Metálica;1613;1304;1,67;44
d320d041-ab20;Espejos de la Quintaesencia;Thalric Flamel;Historia de la Piedra;1335;133;1,84;1
6bf45632-bdb8;La Esencia de la Quintaesencia;Balthazar Vance;Botánica Arcana;1372;1066;4,16;1
99f9df5a-a88e;El Aliento de el Mercurio Rojo;Elara Vance;Transmutación Metálica;1272;583;1,51;44
c40b6591-2760;El Aliento de el Azufre Sagrado;Aurelius Sterling;Filosofía Prohibida;1423;925;2,58;34
3899e2de-a41f;El Enigma de el Azufre Sagrado;Morgana Sterling;Botánica Arcana;1555;1496;1,87;0
d98c730d-0901;Sombras sobre la Transmutación Infinitas;Morgana Sterling;Filosofía Prohibida;1380;879;2,81;34
ec42a815-4a3e;Vórtice de las Almas de Plomo;Isolde Sterling;Historia de la Piedra;1373;594;4,32;34
928c56c7-49ce;Vórtice de las Almas de Plomo;Morgana Grimoire;Botánica Arcana;1881;699;4,4;25
b3ca454f-b106;Vórtice de el Azufre Sagrado;Aurelius Blackwood;Alquimia Teórica;1697;1495;3,67;5
963b7a56-526e;Espejos de las Almas de Plomo;Isolde Grimoire;Botánica Arcana;1487;1291;4,57;12
432179a3-739d;Vórtice de el Azufre Sagrado;Morgana Nightshade;Filosofía Prohibida;1931;145;1,2;7
54dbe723-217b;Espejos de la Quintaesencia;Morgana Nightshade;Transmutación Metálica;1269;847;2,39;45
cc270990-201c;Vórtice de el Sol Negro;Seraphine Nightshade;Filosofía Prohibida;1810;823;2,67;48
15660631-add0;El Enigma de la Transmutación Infinitas;Seraphine Grimoire;Historia de la Piedra;1829;796;3,25;4
a17c8793-774c;El Enigma de la Transmutación Infinitas;Aurelius Crowley;Transmutación Metálica;1923;1072;3,23;38
f529bcd8-87e1;Tratado de el Sol Negro;Balthazar Vance;Transmutación Metálica;1528;464;1,68;19
42311995-50d8;El Aliento de el Mercurio Rojo;Aurelius Vance;Botánica Arcana;1269;975;3,79;34
d34697ea-9648;El Enigma de la Transmutación Infinitas;Elara Nightshade;Alquimia Teórica;1761;1400;2,4;32
b817bc9a-7459;El Aliento de la Quintaesencia;Aurelius Crowley;Historia de la Piedra;1920;409;2,55;45
8900d632-6939;El Aliento de las Almas de Plomo;Seraphine Grimoire;Filosofía Prohibida;1185;1309;3,48;15
c620884b-7cc3;Vórtice de las Almas de Plomo;Isolde Blackwood;Filosofía Prohibida;1289;176;1,94;10
f6bff51b-7d4f;El Aliento de el Azufre Sagrado;Seraphine Sterling;Historia de la Piedra;1352;380;1,51;26
ee219698-9bc1;La Esencia de la Transmutación Infinitas;Caspian Nightshade;Filosofía Prohibida;1653;711;3,29;41
a94d5941-d0d8;Sombras sobre las Almas de Plomo;Balthazar Sterling;Transmutación Metálica;1813;157;2,79;15
c6edf17f-9763;Códice de las Almas de Plomo;Thalric Blackwood;Alquimia Teórica;1795;994;1,67;19
989c8aed-664f;La Esencia de el Azufre Sagrado;Seraphine Vance;Filosofía Prohibida;1946;782;2,54;41
082c84f5-4d05;Códice de la Transmutación Infinitas;Morgana Blackwood;Filosofía Prohibida;1266;1416;1,26;24
d7c99561-127e;La Esencia de las Almas de Plomo;Morgana Blackwood;Historia de la Piedra;1288;801;2,64;32
d41f6ac7-bd9f;La Esencia de las Almas de Plomo;Elara Nightshade;Filosofía Prohibida;1140;1481;2,5;45
ee713d95-227b;Códice de el Sol Negro;Elara Sterling;Filosofía Prohibida;1396;244;2,35;4
ccb3d2b2-be08;El Enigma de el Azufre Sagrado;Seraphine Blackwood;Alquimia Teórica;1191;1058;1,19;25
7bb55955-b99b;Tratado de el Sol Negro;Seraphine Blackwood;Botánica Arcana;1505;697;4,75;8
7f4fb235-ae9f;El Enigma de la Quintaesencia;Morgana Flamel;Filosofía Prohibida;1454;320;1,94;25
a23ed257-106a;Códice de las Almas de Plomo;Balthazar Nightshade;Transmutación Metálica;1142;300;1,83;26
b017945c-d941;Tratado de el Azufre Sagrado;Elara Sterling;Filosofía Prohibida;1323;935;2,05;3
3b467050-812d;Vórtice de el Azufre Sagrado;Caspian Crowley;Transmutación Metálica;1795;505;3,36;31
17fcef53-0499;Sombras sobre la Quintaesencia;Morgana Nightshade;Botánica Arcana;1735;496;4,91;44
f4031260-6eb4;Códice de el Mercurio Rojo;Seraphine Sterling;Botánica Arcana;1513;1488;1,68;0
a3631842-38fc;La Esencia de el Mercurio Rojo;Morgana Flamel;Botánica Arcana;1587;1283;3,76;35
f67e5504-530d;Sombras sobre las Almas de Plomo;Seraphine Blackwood;Filosofía Prohibida;1900;124;2,4;11
b7799f57-0116;El Aliento de las Almas de Plomo;Seraphine Blackwood;Botánica Arcana;1897;1211;3,09;34
489ffd49-7974;Vórtice de la Transmutación Infinitas;Isolde Vance;Transmutación Metálica;1668;232;1,32;12
930af7e6-fc92;El Aliento de el Azufre Sagrado;Balthazar Grimoire;Historia de la Piedra;1855;178;4,49;40
494f8e4b-c827;La Esencia de el Azufre Sagrado;Morgana Sterling;Filosofía Prohibida;1634;286;3,54;5
9ade4344-1421;El Enigma de la Transmutación Infinitas;Morgana Nightshade;Historia de la Piedra;1435;392;1,66;41
0230486a-9643;El Enigma de el Sol Negro;Elara Grimoire;Transmutación Metálica;1302;1220;3,42;1
d37d0184-89b8;Espejos de la Quintaesencia;Morgana Nightshade;Transmutación Metálica;1422;1106;1,22;16
690a0e51-bfff;El Enigma de el Azufre Sagrado;Morgana Grimoire;Transmutación Metálica;1866;1072;1,66;8
b5f9b688-a405;Espejos de el Sol Negro;Seraphine Nightshade;Historia de la Piedra;1694;455;4,67;8
264c4aaf-6552;Espejos de la Quintaesencia;Aurelius Flamel;Historia de la Piedra;1857;1235;2,75;32
2ded34ac-9293;Vórtice de el Azufre Sagrado;Isolde Blackwood;Filosofía Prohibida;1955;1310;3;12
efe28f2a-f7e1;El Aliento de el Azufre Sagrado;Seraphine Blackwood;Alquimia Teórica;1809;828;3,7;13
25d2815c-ad64;Códice de la Quintaesencia;Seraphine Flamel;Alquimia Teórica;1627;551;1,29;7
c9cd3dae-16d1;Tratado de el Sol Negro;Balthazar Grimoire;Transmutación Metálica;1659;1016;4,35;12
abc063ec-e0db;El Enigma de la Transmutación Infinitas;Balthazar Flamel;Alquimia Teórica;1591;1040;4,12;24
9d0d9948-7462;Espejos de la Quintaesencia;Aurelius Vance;Botánica Arcana;1960;583;1,63;45
059da76e-5637;El Aliento de la Transmutación Infinitas;Isolde Sterling;Historia de la Piedra;1411;1228;4,47;45
92e02dd6-225f;Espejos de el Azufre Sagrado;Thalric Nightshade;Transmutación Metálica;1589;310;2,2;37
25b03054-b7f4;Sombras sobre el Mercurio Rojo;Caspian Blackwood;Alquimia Teórica;1220;1067;2,44;15
2c230ab0-48bb;Tratado de el Mercurio Rojo;Aurelius Flamel;Botánica Arcana;1216;957;4,51;45
3b6524a5-431a;Códice de la Transmutación Infinitas;Balthazar Blackwood;Botánica Arcana;1995;1388;3,47;45
f4aee516-6fb0;Tratado de el Mercurio Rojo;Elara Nightshade;Botánica Arcana;1808;1402;2,23;0
53409626-1fd9;Tratado de el Azufre Sagrado;Seraphine Vance;Filosofía Prohibida;1768;87;2,73;15
b4ff950a-4d28;Sombras sobre la Quintaesencia;Morgana Crowley;Historia de la Piedra;1994;173;4,88;40
0494a3fb-b056;Códice de la Transmutación Infinitas;Isolde Vance;Filosofía Prohibida;1985;230;3,74;21
0ef6fae8-73c6;Espejos de la Transmutación Infinitas;Caspian Grimoire;Filosofía Prohibida;1178;314;2,8;46
b4478095-15ad;El Aliento de el Mercurio Rojo;Morgana Vance;Historia de la Piedra;1673;1182;1,71;36
5dc42856-2898;Códice de el Mercurio Rojo;Seraphine Vance;Alquimia Teórica;1659;237;2,56;0
3830a98b-071f;La Esencia de las Almas de Plomo;Morgana Nightshade;Filosofía Prohibida;1467;709;4,3;39
87ab7fea-1c99;Sombras sobre las Almas de Plomo;Elara Blackwood;Historia de la Piedra;1362;1291;4,17;36
c9eb2a7e-59ed;El Enigma de las Almas de Plomo;Balthazar Grimoire;Historia de la Piedra;1409;1475;2,98;3
44849065-5155;Sombras sobre las Almas de Plomo;Thalric Nightshade;Filosofía Prohibida;1355;395;4,52;27
5d83eb4f-3e76;La Esencia de la Transmutación Infinitas;Caspian Crowley;Transmutación Metálica;1404;316;1,97;34
dbc8cc80-211a;El Aliento de la Quintaesencia;Morgana Nightshade;Alquimia Teórica;1720;1408;4,32;35
617a8406-8e71;Espejos de el Sol Negro;Isolde Vance;Transmutación Metálica;1412;139;4,04;10
4e8fad55-3724;La Esencia de la Quintaesencia;Isolde Crowley;Historia de la Piedra;1805;1180;1,41;5
cccb82ab-2ea5;Tratado de el Mercurio Rojo;Isolde Grimoire;Historia de la Piedra;1912;1109;4,08;49
c3ae14e1-53bd;Vórtice de las Almas de Plomo;Caspian Sterling;Botánica Arcana;1268;639;2,3;25
52af0f7f-273b;Códice de el Mercurio Rojo;Aurelius Sterling;Historia de la Piedra;1187;886;4,45;15
87b9a532-07e7;La Esencia de el Sol Negro;Elara Blackwood;Transmutación Metálica;2014;188;3,9;35
98da154e-0523;Sombras sobre el Mercurio Rojo;Caspian Vance;Historia de la Piedra;1348;904;3,08;35
47bec720-ebdc;Espejos de las Almas de Plomo;Elara Sterling;Alquimia Teórica;1829;472;1,66;3
851ceacc-6b2d;Tratado de las Almas de Plomo;Caspian Sterling;Botánica Arcana;1743;933;3,93;39
0f69e87a-b506;Espejos de el Azufre Sagrado;Isolde Flamel;Transmutación Metálica;1491;751;1,6;40
6aee803a-755f;Vórtice de la Transmutación Infinitas;Balthazar Sterling;Transmutación Metálica;1393;1375;3,33;31
683b1145-2009;Sombras sobre el Mercurio Rojo;Aurelius Blackwood;Transmutación Metálica;1970;964;1,97;30
d394f003-3ee3;Códice de el Azufre Sagrado;Morgana Crowley;Botánica Arcana;1984;1404;2,68;15
eeaf900a-5faf;La Esencia de el Sol Negro;Seraphine Vance;Alquimia Teórica;1670;202;4,73;5
930a2261-55fd;Códice de el Azufre Sagrado;Aurelius Flamel;Historia de la Piedra;1171;825;4,72;25
2bdaa78e-5188;Sombras sobre el Mercurio Rojo;Aurelius Flamel;Transmutación Metálica;1653;553;3,39;48
2c06b0cc-6e0f;El Aliento de la Quintaesencia;Balthazar Vance;Historia de la Piedra;1291;834;2,07;32
661f8f86-8100;El Aliento de el Azufre Sagrado;Seraphine Grimoire;Filosofía Prohibida;1710;589;3,73;19
d314b43c-1a81;Espejos de las Almas de Plomo;Caspian Grimoire;Filosofía Prohibida;1395;1259;3;37
5f5d50de-a64c;Vórtice de el Azufre Sagrado;Elara Nightshade;Historia de la Piedra;1682;1015;4,14;47
4b948655-db34;Tratado de la Transmutación Infinitas;Balthazar Nightshade;Historia de la Piedra;1172;598;3,8;46
64635a44-059d;La Esencia de el Azufre Sagrado;Elara Sterling;Historia de la Piedra;1438;1371;4,57;11
804d59a6-3c87;Tratado de la Transmutación Infinitas;Balthazar Sterling;Botánica Arcana;1827;1258;3,34;4
eba6fe47-5f66;Espejos de las Almas de Plomo;Morgana Nightshade;Historia de la Piedra;1109;481;2,6;24
0da13106-0c61;El Enigma de el Mercurio Rojo;Elara Vance;Alquimia Teórica;1508;1243;4,86;10
5cb5dd7c-4d01;El Enigma de la Transmutación Infinitas;Balthazar Flamel;Transmutación Metálica;1133;547;2,51;40
da9d9ef6-35fc;Códice de la Transmutación Infinitas;Seraphine Crowley;Alquimia Teórica;1478;800;1,37;11
c8669be3-d1c0;El Aliento de el Azufre Sagrado;Thalric Crowley;Alquimia Teórica;1719;1205;1,46;34
08cab0b2-99ea;Vórtice de la Transmutación Infinitas;Isolde Grimoire;Botánica Arcana;1675;388;4,12;18
12736223-7660;El Enigma de la Quintaesencia;Seraphine Blackwood;Transmutación Metálica;1255;171;1,98;31
bf9faa86-38e5;Espejos de el Mercurio Rojo;Aurelius Flamel;Botánica Arcana;1273;298;1,7;15
ad287105-2531;El Enigma de la Quintaesencia;Balthazar Flamel;Botánica Arcana;1250;325;2,07;7
fd729a3e-e288;Códice de la Quintaesencia;Balthazar Flamel;Botánica Arcana;1479;1038;1,21;27
5df7f023-b794;Espejos de la Quintaesencia;Isolde Flamel;Transmutación Metálica;1122;346;2,65;11
ff4f7dc4-7521;La Esencia de la Quintaesencia;Aurelius Sterling;Alquimia Teórica;1367;848;3,17;17
2a5c886c-81f3;La Esencia de la Quintaesencia;Elara Crowley;Botánica Arcana;1687;1409;1,32;49
6b7228d8-e8d1;Tratado de las Almas de Plomo;Aurelius Sterling;Alquimia Teórica;1619;310;1,95;31
addfaa3d-1e71;Espejos de las Almas de Plomo;Thalric Nightshade;Historia de la Piedra;1938;314;4,48;23
c8e49a57-af09;Sombras sobre las Almas de Plomo;Elara Flamel;Transmutación Metálica;1689;1051;3,94;43
b5bbf9e7-aced;Códice de el Mercurio Rojo;Thalric Crowley;Alquimia Teórica;1100;1135;1,46;29
c62e2185-5763;El Enigma de la Quintaesencia;Morgana Grimoire;Botánica Arcana;1479;450;4,23;16
aaac311f-2d3e;Códice de el Mercurio Rojo;Elara Flamel;Filosofía Prohibida;1418;1334;4,38;5
e3c113f7-3f5e;La Esencia de la Transmutación Infinitas;Thalric Crowley;Transmutación Metálica;1546;919;4,68;13
7f6e19c1-d731;Espejos de el Mercurio Rojo;Seraphine Flamel;Transmutación Metálica;1818;771;3,96;24
6591d213-6c71;Tratado de la Transmutación Infinitas;Aurelius Crowley;Transmutación Metálica;1696;1458;1,49;25
91dcceb6-d240;La Esencia de la Transmutación Infinitas;Thalric Vance;Transmutación Metálica;1729;904;4,72;10
26c26a67-f0a6;El Enigma de el Sol Negro;Elara Flamel;Botánica Arcana;1799;494;3,6;43
775e98fb-dd99;Códice de el Mercurio Rojo;Balthazar Crowley;Botánica Arcana;1369;660;4,02;41
b945373b-2523;El Enigma de la Transmutación Infinitas;Thalric Crowley;Historia de la Piedra;1766;1500;3,55;45
4e773557-d9cd;Espejos de el Azufre Sagrado;Caspian Nightshade;Botánica Arcana;1326;283;1,08;32
cca54cdd-c38c;Códice de la Quintaesencia;Thalric Flamel;Filosofía Prohibida;1683;827;2,39;25
a9be5ebf-4aef;Vórtice de el Sol Negro;Elara Flamel;Transmutación Metálica;2011;1303;3,24;31
b7968fd8-863e;Espejos de la Quintaesencia;Morgana Sterling;Historia de la Piedra;1408;625;1,28;21
46108e6a-8641;Espejos de las Almas de Plomo;Thalric Crowley;Alquimia Teórica;1951;376;2,11;2
65365b4e-5db7;Códice de la Transmutación Infinitas;Balthazar Blackwood;Filosofía Prohibida;1681;560;2,49;46
d990ee80-a542;Tratado de el Sol Negro;Elara Flamel;Alquimia Teórica;1233;762;4,17;43
1a3cbd27-f081;Códice de el Mercurio Rojo;Isolde Flamel;Alquimia Teórica;1445;714;4,27;34
d3c9a168-d701;La Esencia de las Almas de Plomo;Thalric Vance;Botánica Arcana;1965;973;4,21;42
1e626c3a-1f65;El Aliento de el Mercurio Rojo;Seraphine Crowley;Alquimia Teórica;1812;1183;3,26;31
7d994cf8-7b2b;El Aliento de la Transmutación Infinitas;Thalric Crowley;Historia de la Piedra;1990;1260;3,66;27
08b2cddb-53b5;Sombras sobre las Almas de Plomo;Isolde Crowley;Filosofía Prohibida;1968;1365;1,03;4
9e3a0dd2-ac2c;Sombras sobre el Azufre Sagrado;Aurelius Crowley;Alquimia Teórica;1592;1310;3,05;5
2de3351f-0849;Vórtice de la Quintaesencia;Isolde Sterling;Transmutación Metálica;1386;909;1,23;43
bddcfb69-36ba;Tratado de el Azufre Sagrado;Aurelius Flamel;Historia de la Piedra;1582;754;2,01;14
93c26f3b-f286;Espejos de la Quintaesencia;Aurelius Sterling;Historia de la Piedra;1665;1326;4,7;19
801708e1-3e35;Códice de la Quintaesencia;Thalric Flamel;Botánica Arcana;1529;895;3,36;43
be1bcedc-1fb7;El Enigma de el Sol Negro;Isolde Grimoire;Historia de la Piedra;1946;1132;4,27;18
b80d0231-478c;La Esencia de la Quintaesencia;Elara Nightshade;Botánica Arcana;1441;1094;1,87;31
420d0a08-45b6;Espejos de el Azufre Sagrado;Thalric Grimoire;Botánica Arcana;1643;291;3,16;26
f941dc59-07bb;La Esencia de el Mercurio Rojo;Isolde Blackwood;Transmutación Metálica;1763;877;2,96;4
0c6cd5f3-5b0f;Códice de las Almas de Plomo;Thalric Crowley;Botánica Arcana;1116;1327;1,67;29
cd4ff72c-980e;Vórtice de la Quintaesencia;Aurelius Crowley;Alquimia Teórica;1131;554;3,69;7
47528375-bd65;Tratado de la Transmutación Infinitas;Balthazar Crowley;Filosofía Prohibida;1990;176;3,04;49
ad470f0a-50fd;Sombras sobre las Almas de Plomo;Aurelius Blackwood;Historia de la Piedra;1526;1288;1,59;43
67002cfb-60be;Códice de el Mercurio Rojo;Balthazar Sterling;Alquimia Teórica;1659;1240;2,01;6
58792bff-281d;Códice de la Quintaesencia;Balthazar Blackwood;Transmutación Metálica;1359;483;2,34;37
bc04e9a5-fba9;Vórtice de la Transmutación Infinitas;Caspian Crowley;Historia de la Piedra;1677;1381;3,71;39
41df2ada-ff65;Espejos de el Azufre Sagrado;Elara Vance;Alquimia Teórica;1556;1103;1,95;15
e828935e-369b;Tratado de las Almas de Plomo;Caspian Crowley;Historia de la Piedra;1899;733;2,31;32
8bd0d4ef-2046;El Enigma de el Azufre Sagrado;Isolde Flamel;Filosofía Prohibida;1905;1349;4,76;8
0d5ebe8e-8a51;La Esencia de la Quintaesencia;Thalric Flamel;Historia de la Piedra;1704;1445;1,61;26
982eaef6-cbc9;Espejos de el Azufre Sagrado;Isolde Flamel;Filosofía Prohibida;1703;910;3,52;2
2e6b921c-9e23;Tratado de la Quintaesencia;Aurelius Blackwood;Historia de la Piedra;1301;1211;4,61;38
633815ca-ea3d;La Esencia de la Quintaesencia;Morgana Blackwood;Filosofía Prohibida;1522;376;4,03;24
b14a2fd0-4a25;Códice de las Almas de Plomo;Seraphine Vance;Botánica Arcana;1177;1207;1,87;30
14f20a63-e4f1;El Aliento de el Sol Negro;Morgana Crowley;Botánica Arcana;1953;656;1,12;41
0f722472-3f27;La Esencia de la Transmutación Infinitas;Thalric Crowley;Filosofía Prohibida;1373;1305;2,74;22
97c4dab3-8d38;Códice de el Mercurio Rojo;Seraphine Sterling;Historia de la Piedra;1370;213;1,98;19
204d1cef-3258;Códice de la Quintaesencia;Seraphine Sterling;Alquimia Teórica;1686;448;2,88;8
ceb7df10-8194;Códice de el Mercurio Rojo;Balthazar Sterling;Historia de la Piedra;1548;246;3,62;42
76b674c5-d923;Espejos de la Transmutación Infinitas;Balthazar Blackwood;Botánica Arcana;1176;678;2,98;46
aaad22b6-3577;Códice de la Quintaesencia;Aurelius Crowley;Historia de la Piedra;1935;263;2,23;41
072413ad-843e;Sombras sobre el Mercurio Rojo;Thalric Vance;Botánica Arcana;1642;892;1,55;38
fe495442-b156;Espejos de la Transmutación Infinitas;Isolde Blackwood;Alquimia Teórica;1400;187;4,78;4
db68e530-2f77;La Esencia de las Almas de Plomo;Balthazar Sterling;Botánica Arcana;1642;931;4,87;1
